GMT,JDNM5,JDNM5,
,SQIN,SSTG,
10/1/1990 18:00,753.4041,4.31,
10/2/1990 0:00,695.5038,4.21,
10/2/1990 6:00,639.10345,4.11,
10/2/1990 12:00,595.50323,4.0299997,
10/2/1990 18:00,578.5032,4,
10/3/1990 0:00,577.5031,3.9900002,
10/3/1990 6:00,579.60315,4,
10/3/1990 12:00,595.8032,4.0299997,
10/3/1990 18:00,613.20337,4.06,
10/4/1990 0:00,629.1034,4.09,
10/4/1990 6:00,641.80347,4.11,
10/4/1990 12:00,650.40356,4.13,
10/4/1990 18:00,655.1035,4.1400003,
10/5/1990 0:00,657.00354,4.1400003,
10/5/1990 6:00,657.3036,4.1400003,
10/5/1990 12:00,657.8036,4.1400003,
10/5/1990 18:00,660.9036,4.15,
10/6/1990 0:00,668.5036,4.1600003,
10/6/1990 6:00,681.5037,4.1800003,
10/6/1990 12:00,699.3038,4.2200003,
10/6/1990 18:00,720.0039,4.25,
10/7/1990 0:00,741.604,4.29,
10/7/1990 6:00,763.2041,4.3300004,
10/7/1990 12:00,786.5043,4.3700004,
10/7/1990 18:00,815.9045,4.42,
10/8/1990 0:00,856.6046,4.49,
10/8/1990 6:00,914.105,4.5800004,
10/8/1990 12:00,990.4054,4.71,
10/8/1990 18:00,1082.9059,4.86,
10/9/1990 0:00,1183.5065,5.01,
10/9/1990 6:00,1279.707,5.16,
10/9/1990 12:00,1358.6074,5.28,
10/9/1990 18:00,1410.9077,5.3500004,
10/10/1990 0:00,1434.1078,5.39,
10/10/1990 6:00,1433.1078,5.39,
10/10/1990 12:00,1418.6078,5.37,
10/10/1990 18:00,1403.9077,5.34,
10/11/1990 0:00,1400.5076,5.34,
10/11/1990 6:00,1416.0077,5.36,
10/11/1990 12:00,1452.408,5.42,
10/11/1990 18:00,1507.5082,5.5000005,
10/12/1990 0:00,1575.6086,5.59,
10/12/1990 6:00,1650.009,5.7,
10/12/1990 12:00,1723.9094,5.8,
10/12/1990 18:00,1792.0098,5.9,
10/13/1990 0:00,1850.2101,5.9700003,
10/13/1990 6:00,1896.4103,6.04,
10/13/1990 12:00,1929.9105,6.08,
10/13/1990 18:00,1951.7106,6.11,
10/14/1990 0:00,1963.0107,6.13,
10/14/1990 6:00,1965.6107,6.13,
10/14/1990 12:00,1961.3107,6.12,
10/14/1990 18:00,1951.8107,6.11,
10/15/1990 0:00,1938.3105,6.09,
10/15/1990 6:00,1922.0104,6.07,
10/15/1990 12:00,1903.5103,6.05,
10/15/1990 18:00,1883.6102,6.0200005,
10/16/1990 0:00,1862.7102,5.9900002,
10/16/1990 6:00,1841.31,5.9600005,
10/16/1990 12:00,1819.8098,5.93,
10/16/1990 18:00,1798.5099,5.9,
10/17/1990 0:00,1777.7096,5.88,
10/17/1990 6:00,1757.6096,5.85,
10/17/1990 12:00,1738.5095,5.82,
10/17/1990 18:00,1720.3094,5.8,
10/18/1990 0:00,1703.1093,5.7700005,
10/18/1990 6:00,1686.9092,5.7500005,
10/18/1990 12:00,1671.6091,5.7300005,
10/18/1990 18:00,1656.909,5.71,
10/19/1990 0:00,1642.9089,5.69,
10/19/1990 6:00,1629.4088,5.67,
10/19/1990 12:00,1616.5089,5.65,
10/19/1990 18:00,1603.9087,5.63,
10/20/1990 0:00,1591.9087,5.62,
10/20/1990 6:00,1580.3086,5.6,
10/20/1990 12:00,1569.2085,5.58,
