GTTI4 Crest Date,GTTI4 Crest (ft),MCGI4 Crest (ft),MUSW3 SQIN (cfs)
02-16-2004 21:00,4.50,7.31,4850
04-28-2004 05:00,7.47,9.59,11984
05-11-2004 02:00,6.73,8.38,5540
06-19-2004 05:00,15.43,17.30,41584
08-06-2004 10:00,6.05,8.07,5426
08-28-2004 22:00,5.03,7.26,4029
09-20-2004 16:00,7.66,9.16,4923
11-06-2004 20:00,7.94,9.32,11307
11-29-2004 14:00,6.10,8.11,8406
02-11-2005 06:00,8.17,10.14,10751
02-17-2005 22:00,9.47,10.92,10929
03-10-2005 18:00,6.64,8.58,8846
04-10-2005 17:00,12.52,14.10,15475
04-28-2005 04:00,10.97,12.29,11986
05-27-2005 12:00,8.90,10.18,4920
06-20-2005 17:00,9.87,11.07,8993
07-29-2005 06:00,5.93,8.00,7578
08-13-2005 18:00,4.65,7.03,3800
09-20-2005 06:00,5.28,7.43,3771
10-16-2005 21:00,10.36,11.61,5061
12-18-2005 18:00,7.35,9.87,5020
01-05-2006 09:00,7.48,9.59,5814
01-23-2006 18:00,5.71,7.98,4248
02-26-2006 19:00,6.45,8.82,4459
03-17-2006 19:00,7.40,8.87,13910
04-12-2006 14:00,12.81,14.48,19367
05-20-2006 09:00,11.02,12.23,12720
06-28-2006 15:00,6.09,8.15,4019
08-08-2006 11:00,5.43,7.47,15338
08-30-2006 16:00,5.50,7.58,8007
10-24-2006 20:00,4.66,7.17,7390
12-15-2006 02:00,4.71,7.38,5259
01-07-2007 04:00,5.20,8.04,10270
01-26-2007 21:00,4.80,7.54,5366
02-27-2007 21:00,4.91,7.69,6282
04-10-2007 12:00,11.45,13.79,16526
05-01-2007 15:00,8.52,9.61,6284
06-03-2007 01:00,6.97,8.60,6106
07-18-2007 17:00,4.98,7.40,3557
08-07-2007 16:00,4.24,6.97,6081
09-09-2007 16:00,5.14,7.43,6446
10-13-2007 19:00,8.98,9.94,8000
10-27-2007 17:00,10.31,11.31,14718
11-22-2007 16:00,5.50,7.74,6144
12-05-2007 18:00,4.80,8.05,8051
01-14-2008 17:00,6.38,8.54,9217
02-10-2008 17:00,5.90,8.08,4687
03-17-2008 20:00,7.92,9.28,8705
04-19-2008 23:00,13.88,15.13,44261
04-27-2008 05:00,16.21,17.02,46628
05-12-2008 04:00,13.81,15.37,14422
06-13-2008 18:00,15.71,16.53,57908
07-08-2008 23:00,7.84,9.04,5049
08-18-2008 07:00,4.65,7.16,4077
08-31-2008 19:00,4.50,7.17,3693
10-17-2008 02:00,5.38,7.47,3821
11-10-2008 07:00,5.30,7.59,3855
11-16-2008 19:00,5.59,7.69,5809
12-05-2008 14:00,4.96,7.79,4732
12-31-2008 01:00,5.72,7.94,5141
01-27-2009 10:00,5.80,7.85,3149
02-16-2009 16:00,8.06,10.10,8111
02-27-2009 19:00,6.05,8.49,4525
03-10-2009 23:00,6.96,8.49,11154
04-07-2009 08:00,11.39,12.65,11214
04-28-2009 19:00,9.50,10.24,11464
05-05-2009 13:00,10.13,11.04,26136
06-21-2009 23:00,6.76,8.50,6080
08-11-2009 17:00,5.72,7.94,4352
08-27-2009 22:00,5.66,7.84,5643
11-04-2009 01:00,7.81,9.29,9681
12-27-2009 21:00,6.49,8.36,3650
01-28-2010 18:00,6.03,8.06,4294
02-09-2010 13:00,6.13,8.12,3627
04-01-2010 18:00,13.34,14.91,7294
05-21-2010 00:00,8.50,9.59,7965
07-03-2010 08:00,10.73,11.88,11285
07-25-2010 06:00,11.95,12.16,15073
08-21-2010 04:00,11.17,12.43,13044
10-02-2010 15:00,17.48,19.43,49555
11-06-2010 07:00,11.25,12.45,10355
11-22-2010 16:00,10.15,11.05,13698
12-28-2010 11:00,8.31,10.25,5002
01-12-2011 19:00,8.54,10.23,4809
02-02-2011 11:00,7.98,9.87,4002
02-22-2011 07:00,9.98,11.08,10396
03-01-2011 00:00,9.90,11.44,7179
04-18-2011 19:00,19.58,21.38,77737
06-02-2011 18:00,12.01,13.33,7242
07-02-2011 11:00,12.54,13.96,11522
08-14-2011 15:00,10.80,11.90,10650
10-20-2011 19:00,5.33,7.87,9995
11-13-2011 13:00,5.79,8.02,9968
01-31-2012 08:00,5.71,8.13,3830
03-05-2012 09:00,7.30,8.93,6742
03-23-2012 07:00,10.10,11.04,17695
04-06-2012 14:00,6.39,8.22,10176
04-25-2012 16:00,8.22,9.30,17116
05-15-2012 17:00,11.44,12.66,15719
06-09-2012 05:00,11.75,13.15,5550
07-01-2012 13:00,11.21,12.50,7998
12-07-2012 19:00,4.94,7.61,4199
02-14-2013 03:00,5.40,7.95,5526
03-01-2013 10:00,5.16,7.95,4050
03-13-2013 17:00,8.20,9.88,8089
04-05-2013 18:00,10.41,11.35,11261
04-18-2013 18:00,14.11,15.29,25099
05-12-2013 03:00,14.69,16.28,19364
06-01-2013 02:00,14.43,15.50,12994
06-07-2013 08:00,13.83,15.31,17069
06-26-2013 10:00,15.10,16.27,19183
08-09-2013 12:00,5.66,7.81,4195
08-16-2013 12:00,5.37,7.63,4111
11-09-2013 03:00,6.19,8.17,10458
11-22-2013 22:00,5.78,8.00,13759
02-23-2014 14:00,6.01,8.42,5653
03-24-2014 16:00,8.11,10.11,4816
04-04-2014 14:00,10.13,11.12,10109
04-21-2014 03:00,14.88,16.53,38935
05-09-2014 10:00,16.16,17.93,20936
05-21-2014 08:00,15.52,17.23,14916
06-13-2014 08:00,12.87,14.44,8393
07-04-2014 06:00,17.00,18.67,12922
09-01-2014 15:00,7.36,8.96,7829
09-19-2014 03:00,11.69,12.99,13701
10-09-2014 03:00,7.06,8.63,10430
10-22-2014 17:00,7.62,8.91,15256
11-16-2014 18:00,6.49,8.51,9467
11-28-2014 17:00,7.38,10.27,9481
12-23-2014 17:00,7.92,9.30,12013
01-07-2015 13:00,6.44,9.13,5924
01-23-2015 13:00,6.71,8.75,4958
02-12-2015 17:00,6.46,8.52,5499
04-17-2015 18:00,9.50,10.53,37585
06-05-2015 10:00,11.74,13.04,17625
06-16-2015 18:00,10.97,12.14,14759
06-24-2015 03:00,9.33,10.40,7921
07-13-2015 16:00,7.97,9.19,4831
08-26-2015 06:00,6.24,8.33,4625
08-30-2015 00:00,6.32,8.33,4093
09-13-2015 18:00,7.84,9.43,13686
11-20-2015 21:00,9.04,10.00,12176
11-27-2015 23:00,10.18,11.09,11927
12-24-2015 00:00,12.79,14.09,25920
03-01-2016 15:00,8.61,9.99,9970
03-25-2016 12:00,14.86,16.54,45808
04-07-2016 21:00,12.28,13.61,36707
05-05-2016 09:00,10.88,11.96,9517
06-12-2016 03:00,10.56,11.62,13188
07-27-2016 10:00,12.28,13.59,8981
08-28-2016 02:00,13.56,14.42,13839
09-17-2016 10:00,12.02,13.06,12488
09-29-2016 11:00,15.22,16.86,44026
10-27-2016 13:00,10.84,11.73,10826
12-07-2016 19:00,10.68,11.64,20446
12-28-2016 11:00,11.88,12.61,7852
02-01-2017 16:00,11.63,12.49,9156
03-03-2017 14:00,14.23,15.70,43961
04-11-2017 11:00,10.57,11.52,21600
04-28-2017 04:00,13.14,14.60,35184
05-10-2017 01:00,13.20,14.69,16871
05-28-2017 12:00,16.13,17.81,16439
06-21-2017 10:00,11.91,13.27,16126
07-24-2017 09:00,11.63,12.14,15578
09-04-2017 17:00,8.45,9.71,4515
10-18-2017 15:00,11.97,13.30,9061
01-25-2018 19:00,8.26,9.67,6669
02-26-2018 04:00,9.11,9.93,5945
03-24-2018 16:00,7.81,8.93,7102
04-05-2018 08:00,9.29,10.36,9439
04-20-2018 03:00,10.38,11.31,15069
05-06-2018 21:00,16.90,18.34,24119
06-11-2018 16:00,10.29,11.39,6451
06-28-2018 15:00,15.01,16.83,14400
07-21-2018 21:00,11.57,12.90,4714
09-12-2018 10:00,12.17,13.42,53827
10-20-2018 07:00,14.89,16.41,23660
11-14-2018 11:00,11.49,12.53,24230
12-05-2018 11:00,8.03,9.17,11851
01-03-2019 18:00,8.34,9.65,18305
01-17-2019 19:00,8.87,10.56,11756
01-29-2019 15:00,7.74,10.37,6574
02-09-2019 18:00,9.10,10.78,11336
03-24-2019 12:00,15.92,17.48,21295
04-05-2019 05:00,19.55,21.33,32780
04-16-2019 02:00,17.78,19.47,37347
04-27-2019 20:00,19.95,21.74,45373
05-17-2019 17:00,14.83,16.36,16511
07-12-2019 08:00,13.37,14.79,12725
07-28-2019 03:00,13.69,15.24,17157
09-23-2019 00:00,13.10,14.32,12334
10-13-2019 14:00,15.23,16.77,18418
12-02-2019 13:00,10.46,11.27,15649
01-08-2020 21:00,10.94,11.90,12065
02-27-2020 16:00,9.71,10.44,8323
03-27-2020 01:00,13.73,15.10,30771
04-08-2020 00:00,16.76,18.39,34028
05-08-2020 12:00,10.99,12.05,12804
05-24-2020 21:00,10.48,11.43,9341
06-04-2020 09:00,12.38,13.69,16636
06-18-2020 03:00,11.34,12.45,19179
06-27-2020 06:00,9.54,10.25,16192
07-07-2020 16:00,9.97,11.07,6071
07-17-2020 02:00,9.30,10.23,11617
07-21-2020 17:00,9.36,10.34,17763
08-04-2020 10:00,10.12,11.08,10612
08-21-2020 14:00,7.30,8.81,4503
09-02-2020 23:00,7.94,9.36,14686
09-13-2020 05:00,7.29,8.76,9162
10-28-2020 03:00,7.82,9.26,15594
11-18-2020 13:00,8.65,9.76,30352
03-18-2021 20:00,10.55,11.42,26679
04-01-2021 19:00,10.93,11.97,14416
04-21-2021 04:00,11.14,12.25,11615
05-06-2021 16:00,8.75,9.92,6073
06-02-2021 20:00,8.81,9.85,10146
07-01-2021 03:00,6.54,8.16,9768
08-15-2021 17:00,8.38,9.84,21958
09-12-2021 16:00,5.40,7.41,6406
09-26-2021 10:00,5.30,7.40,7038
10-12-2021 05:00,5.30,7.46,5136
11-19-2021 18:00,7.14,8.75,9612
03-08-2022 17:00,7.81,9.51,7255
03-31-2022 19:00,11.58,12.67,14024
04-22-2022 18:00,13.14,14.46,17726
05-11-2022 03:00,12.12,13.30,8667
05-27-2022 15:00,13.31,15.05,11992
07-18-2022 16:00,7.02,8.87,4113
09-02-2022 20:00,6.39,8.44,6061
01-23-2023 17:00,6.77,8.33,8190
02-19-2023 22:00,6.89,8.59,11062
04-28-2023 16:00,20.98,22.91,42124
09-27-2023 22:00,5.63,7.55,3819
10-21-2023 03:00,5.50,7.62,7620
11-01-2023 18:00,9.33,10.56,33812
04-04-2024 16:00,7.45,8.97,12801
04-27-2024 01:00,9.22,10.34,11100
05-12-2024 09:00,12.29,13.69,13678
05-30-2024 16:00,12.61,14.04,33200
06-15-2024 02:00,13.20,14.92,9901
07-06-2024 04:00,18.98,20.74,16873
